name;title;category;blurb;hp;hpperlevel
Fizz;az árapály trükkmestere;Assassin;Évszázadokkal ezelőtt egy ősi vízi faj titkos várost épített egy hegy alatt az óceánban. Bár nekik is megvoltak a maguk ellenségei, a város, ez az áthatolhatatlan erőd, biztonságot nyújtott számukra, amelyben könnyelműen megfeledkeztek a falakon kívül ...;558,48;86
Galio;az őrző bánata;Tank;„Olyan, hogy jóvátétel, nem létezik. Csak a bűnhődés.”Jóval a mágia szabályozásának kezdete előtt a varázslók a mesterséges élet létrehozásával kísérleteztek. Bár mára betiltották, a gólemek értelemmel való felruházása egykor nem volt ...;577,8;85
Gangplank;a sósvízi veszedelem;Fighter;„Már akkor torkokat metszettem el és noxusi gályákat küldtem a tenger fenekére, amikor te még pelenkában rohangáltál, kölyök. Nem akarsz velem ujjat húzni.”Gangplank kiszámíthatatlan és brutális. A trónjától megfosztott kalózkirálytól ...;540;82
Garen;Demacia ereje;Fighter;Akár ünnepelték, akár lenézték, a demaciai hadsereg elszántságát mindig is tisztelték egész Valoranban. A zéró tolerancia elvén alapuló erkölcsi kódexüket polgárok és katonák egyaránt szigorúan veszik. A harcban ez azt jelenti, hogy a demaciai ...;616,28;84,25
Gnar;a hiányzó láncszem;Fighter;A dzsungel nem bocsátja meg a vakságot. Minden törött ágnak megvan a maga története.Minden teremtményt levadásztam már ebben a dzsungelben. Biztos voltam benne, hogy már semmilyen kihívás nem vár itt rám, de most megjelent valami új. Minden ...;540;65
Gragas;a csőcselék felbujtója;Fighter;Az egyetlen dolog, ami Gragas számára még a harcnál is fontosabb, az ivás. Az erős sör iránti olthatatlan szomjúságától vezérelve egyre hathatósabb és különlegesebb hozzávalók után kutat, hogy szeszfőző kazánjában lepárolhassa azokat. Ez a lobbanékony ...;583,52;89
Graves;a törvényen kívüli;Marksman;Malcolm Graves körözés alatt áll minden országban, városban és birodalomban, ahol valaha is megfordult. Kőkemény, törhetetlen akaratú és könyörtelen férfi, aki bűnözői életmódjával komoly vagyont szerzett, de mindig gyorsan el is vert minden egyes ...;551,12;84
Hecarim;a háború árnyéka;Fighter;„Törjétek meg a soraikat, és gázoljátok le mindet, irgalom nélkül. Tiporjátok el az élőket, és lakmározzatok a rettegésükből.”'Hecarim egy páncélos óriás, aki az Árny-szigetekről indul meg szellemlovasai élén, hogy az élőkre vadásszon. Ember ...;580;90
Heimerdinger;a megbecsült feltaláló;Mage;Cecil B. Heimerdinger professzor naplójából10. 14.09:15Bandleváros meteorológiai viszonyai optimálisak. A légköri nyomás tökéletes a mai kísérletekhez!Ma délután elvégzem a Tridiminiumobulátor ötödik tesztjét. Még némi ...;476;75
Illaoi;a kraken papnő;Fighter;„Nem vagyok a szóvirágok híve. A törött csontok jobb tanítók.”Illaoi megingathatatlan hite mellett hatalmas ereje is eltörpül. A Nagy Kraken prófétájaként egy hatalmas, aranyból készült bálvánnyal szakítja ki ellenfelei lelkét a testükből, és ...;585,6;95
Irelia;a pengék akarata;Fighter;„A kard úgy cikázott, mintha vérrel festene.”Runaterra leglélegzetelállítóbb és leghalálosabb harcművészeti ágai közül sokat az ioniaiak fejlesztettek ki – felvilágosult törekvéseik egyik megnyilvánulásaként. A legfigyelemreméltóbb pengestílus ...;607,2;90
Ivern;a zöld barát;Support;Szederláb Ivern – vagy ahogy a legtöbben ismerik, a Zöld barát –, ez a furcsa, félig ember, félig fa szerzet az élet védelmezőjeként Runaterra erdőit járja. Jól ismeri a természet titkait, és mély barátságot ápol minden olyan lénnyel, amely a ...;580;90
Janna;a vihar haragja;Support;Akadnak olyan varázslók, akik felhagynak a tanult mágiával, és átadják magukat a természet elemi erőinek. Ilyen varázsló Janna is, aki árvaként nőtt fel a Zaun városállamát jellemző káoszban, és itt kezdett el megismerkedni a mágiával is. Janna az ...;487,04;78
IV. Jarvan;Demacia eszménye;Tank;„Csupán egy igazság létezik, és azt a lándzsám hegyén találod.”Demacia uralkodói családjaként a Fényőrzők vérvonalának tagjai évszázadok óta azzal töltötték az életüket, hogy hadat viseljenek a demaciai erkölcs ellenzőivel szemben. Azt ...;571,2;90
Jax;a fegyverek nagymestere;Fighter;Ritkán fordul elő, hogy egy hőst azon tettei határoznak meg, amiket a Legendák Ligájának tagjaként, és nem az előélete során vitt véghez. Ez a helyzet Jax esetében, akiről kijelenthető, hogy jelenleg ő a Háború Intézetének legeredményesebb ...;592,8;85
Jayce;a holnap védelmezője;Fighter;A különleges értelemmel, vonzerővel és egyedi átalakítható pörölyével felvértezett Jayce szülővárosa, Piltover védelméért él. Azonban jóval azelőtt, hogy nemzete hősként emlegette volna, ígéretes ifjú feltaláló hírében állt. Amikor Piltover városa ...;571,2;90
Jhin;a virtuóz;Marksman;„A művészethez kegyetlenség is kell.”Jhin egy pedáns alapossággal dolgozó pszichopata bűnöző, aki szerint a gyilkolás művészet. Egykor egy ioniai börtönben raboskodott, de az országot uraló tanácson belül működő titkos szövetség kiszabadította ...;540;85
Jinx;a nagyágyú;Marksman;Jinx lételeme a zavarkeltés, és tettei következményeivel mit sem törődve csak pusztítást és pánikot hagy maga után, amerre jár. Mániákus és lobbanékony természetű bűnöző, aki az unalmat gyűlöli a legjobban, és gyermeteg örömmel hívja pokoli táncra a ...;517,76;82
Kalista;a bosszú lándzsája;Marksman;„Aki ellen vétkeznek, annak igazságot szolgáltatunk. Akit bántanak, annak nevében visszavágunk. Akit elárulnak, azért a Bosszú Lándzsája vesz elégtételt!”Kalista a harag és a megtorlás szelleme, egy halhatatlan, bosszúálló lidérc, egy páncélba ...;517,76;83
Karma;a felvilágosult;Mage;Karma megtörhetetlen akaratú nő, aki határtalan spirituális erővel rendelkezik. Ő Ionia testet öltött lelke. A harcmezőn lelkesítő jelenség, amint védelmezi a szövetségeseit és megfutamítja az ellenfeleit.  Karma erőskezű vezető, aki a forradalmi hév ...;522,44;83
Karthus;a halál énekese;Mage;„A halál nem az út vége, hanem csupán a kezdet...”Karthus az elmúlás hírnöke, egy élőholt szellem, akinek kísérteties dala előrejelzi, hogy megjelenésével milyen borzalmak veszik majd kezdetüket. Az élők félnek az élőholt lét örökkévalóságától,...;516;75
Kassadin;az Üresség vándora;Assassin;Létezik egy hely a dimenziók és világok között. Egyeseknek ez a Túlvilág, másoknak az Ismeretlen. A legtöbben viszont csak úgy ismerik: az Üresség. A neve ellenére az Üresség egyáltalán nem üres, hanem megnevezhetetlen dolgok gyűjtőhelye, olyan ...;564,04;78
Katarina;a baljós tőr;Assassin;Katarinát páratlan gyilkos ösztönei Noxus megbecsült orgyilkosává tették családjának hírneve messze földekre elért. Bár szenvedélye folyamatosan mind nagyobb tettekre sarkallja őt, néha bizony tévútra is vezetheti.Katarina gyerekkorától ...;590;82
Kayle;az igazságosztó;Fighter;Egy távoli világban, ahol még mindig dúl az ősi háború, Kayle hatalmas hősnek számított. A legkiválóbb harcosa volt annak a halhatatlan fajnak, amely a mindenkori gonosz elpusztítására esküdött fel. Kayle tízezer évig lankadatlanul küzdött a népéért, ...;574,24;93
Kennen;a vihar szíve;Mage;Létezik egy ősi, az Ioniai-szigetekről származó rend, amelynek küldetése az egyensúly megőrzése. Rend, káosz, fény, sötétség – mindennek tökéletes harmóniát kell alkotnia, az univerzum törvénye szerint. A Kinkou néven ismeretes rend az árnyharcosok ...;535,72;79
Kha'Zix;az Üresség ragadozója;Assassin;Kha'Zix az Ürességből származó ragadozó, aki azért lopózott át a saját világából, hogy eleméssze Valoran legígéretesebb teremtményeit. Minden gyilkossággal magába szívja áldozatainak erejét és ezáltal egyre hatalmasabbá válik. Kha'Zix leginkább Rengar ...;572,8;85
Kindred;az örökkévalóság vadászai;Marksman;„Mondd, Báránykám, kiket ragadhatunk el?”„Bárkit, kedves Farkas.”Kindredben két önálló lélek lakozik, akik sosem válnak szét, és a halál két arcát testesítik meg. Bárány nyilai gyors elmúlást hoznak annak, aki elfogadja a sorsát. Farkas ...;540;85
Kled;a zsémbes lovag;Fighter;„Minden épelméjű elfutna... de én nem vagyok az a menekülős fajta!”Kled egy félelmet nem ismerő, harapós természetű harcos, közkedvelt népmesei hős Noxusban. A nemzet dühödt harciasságának élő megtestesülése ő, akit a katonák rajongva ...;340;70
Kog'Maw;a végtelenség szája;Marksman;„Ha ilyen, amikor éhes, inkább nem szeretném tudni, milyen, amikor igazán mérges.”Malzahar, a próféta Ikáthiában született újjá, és az őt odavezető hang onnantól fogva mélyen befészkelte magát az elméjébe. Ez a belső hang rettentő feladatot ...;517,76;82
LeBlanc;a megtévesztő;Assassin;Minden városnak van egy sötét oldala, még azoknak is, amelyeknek a hírneve eleve kétes árnyalatú. Noxus sem jelent kivételt ez alól, holott már a nevének puszta kiejtése is tisztelettel vegyes ellenérzést ébreszt. A város sötét, kanyargó utcái alatt, ...;516;80
Lee Sin;a világtalan szerzetes;Fighter;Kiskamaszként Lee Sin egyetlen vágya az volt, hogy idézővé váljon. Akaratereje és elszántsága messze kiemelte a kortársai közül, olyannyira, hogy képességeire felfigyelt Reginald Ashram, a Liga akkori főtanácsosa is. Az Arcanum Majoris tanoncaként Lee ...;570,8;85
Leona;a sugárzó hajnal;Tank;„Ha úgy akarsz ragyogni, mint a nap, előbb el kell viselned a tüzét.”Leonát a nap tüze járja át. A solarik harcos papjaként elszántan védi a Targon-hegyet Fénypengéjével és a Hajnalhasadás pajzsával. Bőre csillagtűztől fénylik, a szemében ...;576,16;87
Lissandra;a jégboszorkány;Mage;Lissandra mágiája a jég tiszta erejét valami sötétté és rettenetessé változtatja. A fekete jég erejével nem egyszerűen megfagyasztja az ellenségeit – karóba húzza és összezúzza azokat, akik szembeszegülnek vele. Észak rettegő lakói Jégboszorkánynak ...;506,12;75
Lucian;a megtisztító;Marksman;Lucian ősi hatalommal felruházott varázsfegyvereit forgatva vitéz őrzőként száll szembe az élőholtak seregével. Rideg eltökéltsége sosem inog meg, nézzen bár szembe bármilyen rettenettel, mielőtt pusztítótüzének áradata elsöpörné azt a föld színéről. ...;554,4;80
Lulu;a tündérboszorkány;Support;A Liga minden hőse közül talán Lulura a leginkább igaz, hogy a saját szabályai szerint játszik. Bandlevárosban töltött ifjúsága során főleg magányos erdei sétákkal és álmodozással ütötte el az idejét. Nem kerülte ő az embereket, de Bandleváros pezsgő ...;552,76;74
Lux;a fény úrnője;Mage;Luxanna a tekintélyes Koronaőr családba született, amelynek tagjai példásan szolgálták Demaciát, így Luxannára is fényes jövő várt. A család egyetlen leánygyermekeként gyorsan hozzászokott a rangjának megfelelő kiemelkedő oktatáshoz és a pazar ...;477,72;79
Malphite;a monolitszilánk;Tank;Létezik egy világ, ahol tökéletes harmónia uralkodik, és minden a nagy egész része. A Monolit maga a teremtés esszenciája, és lakói csupán a részei annak. Szimmetriájának és a bizonytalanság szinte teljes hiányának köszönhetően egyszerűen gyönyörű. Az ...;574,2;90
Malzahar;az Üresség prófétája;Mage;Sokan tébolyultak meg a shurimai nap perzselő tekintetétől, Malzahar azonban egy fagyos éjszakán veszítette el a józan eszét. Malzahar látnoknak született, megadatott neki a jövőbe látás ajándéka. Adottságai a képzetlensége ellenére is Runaterra egyik ...;525;75
Maokai;a hatalmas ent;Tank;„Csupa üres, lélektelen váz vesz körül, és semmitől sem félnek... de én megtanítom őket a rettegésre.”Maokai egy hatalmas, dühödt ent, aki az Árny-szigetek természetellenes lakói ellen küzd. Az otthonát elpusztító mágikus kataklizma miatt ...;572,2;90
Master Yi;a wuju nagymester;Assassin;Az ősi harcművészet, a Wuju gyakorlásával Master Yi olyan tökélyre fejlesztette a testét és az elméjét, hogy a gondolat és a tett számára egy és ugyanaz. Bár erőszakot csak a legvégső esetben hajlandó alkalmazni, annyira gyorsan és olyan eleganciával ...;598,56;92
Miss Fortune;a fejvadász;Marksman;„Minél nagyobb a kockázat, annál nagyobb a vérdíj.”Gyönyörű és veszélyes: Miss Fortune azon kevesek egyike, akik mindkettőt elmondhatják magukról. Bilgewater egyik leghírhedtebb fejvadászának legendája kilyuggatott holttestek és fülön csípett ...;530;85
Wukong;a majomkirály;Fighter;A Rúnaháborúk zűrzavarában eltűnt egy hatalmas rúnakő a Dögvész-dzsungel mélyén. Érintetlenül hevert ott évszázadokig, de a belőle áradó erőteljes mágia lassanként öntudatra keltette a követ körülvevő természetet. Különösen erőssé tett egy csapatnyi ...;577,8;85
Mordekaiser;a vaslidérc;Fighter;„Idővel minden elpusztul… én mégis élek.”A baljóslatú élőhalott, Mordekaiser az Árny-szigeteket kísértő legfélelmetesebb és legtöbb gyűlölettel átitatott lelkek egyike. Több száz éve létezik, és a végső haláltól nekromantikus mágia és saját ...;525;73
Morgana;a bukott angyal;Mage;Létezik egy távoli világ, ahol szemkápráztatóan kecses szárnyas lények élik örökkévaló életüket – és ahol még mindig egy ősi viszály dúl. Mint annyi konfliktus, ez is családokat szakított ketté. Az egyik oldal a tökéletes rend és igazság bajnokának ...;547,48;86
Nami;a dagályhívó;Support;Nami az óceánok ősi erejét uralja, egyaránt kihasználva misztikus gyógyító hatalmát és a vad hullámok nyers erejét is. Bár sokan kételkedtek benne, Naminak megvolt a bátorsága és eltökéltsége ahhoz, hogy egy veszélyes küldetésre vállalkozzon akkor, ...;489,32;74
Nasus;a homokdűnék őre;Fighter;„Ami elbukott, ismét naggyá lehet.”Nasus egy tiszteletet parancsoló, sakálfejű Felemelkedett lény az ősi Shurimából, egy hős, akit a sivatag népei félistenként tisztelnek. Rendkívüli intelligenciájának köszönhetően a tudás őrzője és páratlan ...;561,2;90
Nautilus;a mélység titánja;Tank;Nautilus egykor tengerész volt, akit azzal bízott meg a Háború Intézete, hogy derítse fel az Őrző tengerének ismeretlen területeit. Expedíciója mélyen behatolt az ismeretlen vizekre, és legénységével végül egy fekete, ragacsos folyadékra leltek, ami ...;576,48;86
Nidalee;a vadászó bestia;Assassin;Kevés ember, és még annál is kevesebb hős él a Nagy-választóhegységtől délre fekvő elátkozott és veszélyes vidéken. E terület még mindig magán viseli a legutóbbi rúnaháborúk nyomait, és ez a titokzatos Kumungu-dzsungelre különösen igaz. Ezeken a ...;511,2;80
Nocturne;az örök rémálom;Assassin;Nocturne színrelépése előtt úgy vélték, az álmok csupán a képzelet koholmányai, az alvó elmén végigcikázó jelentéktelen képek. Ez az elmélet megdőlni látszott, amikor egy sor alvással kapcsolatos probléma kezdte kínozni a Liga idézőit. Egyesek saját ...;582,8;85
Nunu;a jetilovas;Support;A baráti kötelékek néha még a vér szavánál is erősebbek. És ha ez a kötelék egy félelmet nem ismerő fiú és egy félelmetes jeti között köttetik, az olyan hatalom, amelyet nem lehet figyelmen kívül hagyni. Nunu azt a feladatot kapta, hogy szelídítsen ...;598,28;90
Olaf;a rettenthetetlen viking;Fighter;A legtöbb férfi úgy tartja, hogy a haláltól félni kell. Olaf nem tartozik ezen férfiak körébe. A rettenthetetlen vikinget csak a csatakiáltás moraja és az összecsapó acél csattanása élteti. A dicsőségvágytól és a dicstelen halál szégyenének fenyegető ...;597,24;93
Orianna;az óraművek hölgye;Mage;Élt egyszer egy piltoveri férfi, Corin Reveck, aki a világon mindennél jobban szerette a lányát, Oriannát. Bár Oriannának páratlan tehetsége volt a tánchoz, mindig is lenyűgözték a Legendák Ligájának hősei. Ez a csodálat oda vezetett, hogy ő maga is ...;517,72;79
Pantheon;a háború mestere;Fighter;„Állíts ki ellenem egy igazi bajnokot, vagy száz olyat, mint te, és összecsapásunkról az idők végezetéig fognak beszélni.”Pantheon egy páratlan tudású harcos, maga a testet öltött háború. A rakkor nép szülötte, akik a Targon-hegy oldalában ...;579,16;87
Poppy;a pöröly őrzője;Tank;„Nem vagyok hős. Csak egy yordle pöröllyel.”Runaterra világában se szeri, se száma a bátor hősöknek, de egyik sem olyan kitartó, mint Poppy. A magánál kétszer nagyobb pörölyt cipelő yordle hosszú évek óta keresi „Demacia hősét”, a megjövendölt ...;540;90
Quinn;Demacia szárnyai;Marksman;Quinn és Valor együtt egy elit rohamosztagot alkotnak. Számszeríjjal és karmokkal felfegyverkezve a legveszélyesebb küldetéseket hajtják végre népükért, mélyen benn az ellenséges területen, legyen szó gyors felderítésről vagy halálos rajtaütésről. Az ...;532,8;85
Rammus;a páncélos;Tank;„Oké.”Rammus, ez a fura lény sokak szemében hős, mások legyintenek rá, de mindenki számára rejtély. Rammust tüskés páncél védi, és bármerre jár, a származását illetően egyre vadabb történetek születnek, amelyek szerint volt már félisten, szent ...;564,48;86
Rek'Sai;a sivatagi Ürességrém;Fighter;Rek'Sai fajtája legnagyobb és legvadabb példánya, egy kegyetlen ragadozó, amely a földbe ásott járataiból előtörve üt rajta a védtelen prédán. Csillapíthatatlan étvágya az egykor dicső Shurimai Birodalom hatalmas területeit tette kietlen pusztasággá. ...;570;90
Renekton;a sivatag mészárosa;Fighter;„Vér és bosszú.”Renekton egy iszonyatos, gyűlölettől hajtott Felemelkedett lény a shurimai sivatagból. Egykor a birodalom egyik legmegbecsültebb harcosa volt, aki számtalan győzelemre vezette Shurima seregeit. A birodalom bukásakor Renektont ...;572,16;87
Rengar;a büszke ragadozó;Assassin;Rengar tanyájának minden falát Valoran legveszedelmesebb lényeinek trófeái díszítik: fejek, szarvak, karmok és agyarak. Bár hatalmas a gyűjteménye, ő továbbra sem elégedett, és mindig újabb, még erősebb prédát keres. Nem kapkodja el a támadást, ...;586,2;90
Riven;a száműzött;Fighter;„A háború és a gyilkolás között vékony a határ, de démonok hada lapul ott.”Noxusban bárki hatalomra kerülhet fajtól, nemtől vagy társadalmi helyzettől függetlenül. Csak az erő számít. Riven szilárdan hitt ebben az alapelvben, és ezt követve ...;558,48;86
Rumble;a gépesített fenyegetés;Fighter;„Ó jaj, nehéz lesz levakarni a képedet a ruhámról!”Rumble még a yordlék között is rendkívül aprónak számított. Mint ilyen, hozzászokott, hogy gyakran kötekednek vele, ezért agresszívabbnak és leleményesebbnek kellett lennie a többieknél. ...;584,4;80
Ryze;a rúnamágus;Mage;„Légy óvatos ezzel a világgal. Ami felépült, az le is rombolható.”Ryze sokak szerint Runaterra egyik legtapasztaltabb varázslója, egy ősi, keménykötésű főmágus, aki borzalmasan súlyos terhet cipel a vállán. A határtalan eltökéltséggel és ...;558,48;86
Sejuani;a tél haragja;Tank;Sejuanit a megpróbáltatások táplálták, és a barbárság nevelte. Míg Freljord kegyetlen földje sokakat elemésztett, őt megedzette: a fájdalomból erőt merített, az éhségből bátorságot, a hideg pedig szövetségesévé vált a gyengék kiválasztása során. A ...;600;95
Shaco;a démoni bohóc;Assassin;A legtöbben nem tartják viccesnek a halált. Nem így Shaco. Számára a halál egyenesen haláli. Ő Valoran első tevékeny gyilkos tréfamestere: addig viccelődik, amíg valaki halálát nem leli, de mindig ő nevet a végén. A Démoni Bohócként ismert alak kész ...;582,12;84
Shen;az alkony szeme;Tank;„A Szem nem látja a félelmet, a gyűlöletet és a szeretetet… vagyis semmit, ami veszélyt jelent az egyensúlyra.”Shen misztikus harcosok titkos klánját vezeti az Alkony Szemeként, akinek feladata az egyensúly megőrzése a világban. Shen a ...;540;85
